epoch,train_loss,val_loss,val_micro_f1,val_micro_precision,val_micro_recall,val_macro_f1,val_true_recall,val_ocr_ceiling,val_tagger_accuracy,learning_rate,epoch_seconds,is_best
1,2.1296702633556137,1.014684472233057,0.0,0.0,0.0,0.0,0.0,0.6737425011536686,0.0,2.5862068965517244e-05,61.2251832485199,True
2,0.5824802331944816,0.5950318328104913,0.18725099601593626,0.18725099601593626,0.18725099601593626,0.03305762422893406,0.13613290263036457,0.6737425011536686,0.20205479452054795,4.980842911877395e-05,63.58594989776611,True
3,0.3692585517708053,0.46689077257178724,0.30959752321981426,0.27844073190135243,0.34860557768924305,0.10448346099723486,0.24596215966774343,0.6737425011536686,0.36506849315068496,4.693486590038315e-05,63.40785360336304,True
4,0.28887573145648354,0.3981386088998988,0.4626506024096386,0.4481792717086835,0.47808764940239046,0.17674423354058666,0.3659437009690817,0.6737425011536686,0.5431506849315069,4.406130268199234e-05,63.42116069793701,True
5,0.24114341085028446,0.3594049512175843,0.5022156573116692,0.49659201557935734,0.5079681274900398,0.21576192148418846,0.39178587909552376,0.6737425011536686,0.5815068493150685,4.1187739463601534e-05,63.45739769935608,True
6,0.19575587335305336,0.3169069665018469,0.5132037867463877,0.5134596211365903,0.5129482071713147,0.22336028170030633,0.3894785417628057,0.6737425011536686,0.5780821917808219,3.831417624521073e-05,63.50764846801758,True
7,0.17139526341970152,0.2835775794228539,0.53006253006253,0.5125581395348837,0.548804780876494,0.24733838278141743,0.4259344716197508,0.6737425011536686,0.6321917808219178,3.5440613026819926e-05,69.0895721912384,True
8,0.1436109319010861,0.2495201692217961,0.6075819672131147,0.6255274261603375,0.5906374501992032,0.30035288880669064,0.4582371942778034,0.6737425011536686,0.6801369863013699,3.256704980842912e-05,62.53704619407654,True
9,0.12764977054017732,0.23861025692895055,0.6311154598825832,0.6201923076923077,0.6424302788844621,0.3811737068909422,0.4933087217351177,0.6737425011536686,0.7321917808219178,2.9693486590038317e-05,62.45960736274719,True
10,0.11178393712920001,0.23506154399365187,0.6653246099647709,0.6724313326551373,0.6583665338645418,0.41658168798953366,0.4997692662667282,0.6737425011536686,0.7417808219178083,2.681992337164751e-05,67.90619850158691,True
11,0.10137775470701675,0.2246619602665305,0.672990514228657,0.6746746746746747,0.6713147410358565,0.3970615397635239,0.5085371481310568,0.6737425011536686,0.7547945205479452,2.3946360153256706e-05,67.96657848358154,True
12,0.08921061865348592,0.20820165297482163,0.7040971168437026,0.7153134635149023,0.6932270916334662,0.4575191035757663,0.5191508998615597,0.6737425011536686,0.7705479452054794,2.10727969348659e-05,67.67212462425232,True
13,0.07965752789671095,0.20692824630532414,0.6998491704374058,0.7065989847715736,0.6932270916334662,0.47152921828823774,0.5163820950622982,0.6737425011536686,0.7664383561643836,1.8199233716475097e-05,56.923487424850464,False
14,0.07343292887457925,0.2096636266214773,0.7137913989125061,0.7085377821393523,0.7191235059760956,0.4855559770346602,0.5362251961236733,0.6737425011536686,0.7958904109589041,1.532567049808429e-05,66.32861924171448,True
15,0.06359553903054732,0.20621406368445605,0.721608040201005,0.7281947261663286,0.7151394422310757,0.5336717614384344,0.5339178587909552,0.6737425011536686,0.7924657534246575,1.2452107279693487e-05,60.48020958900452,True
16,0.058794895441741005,0.21112005889881402,0.7247106190236539,0.7324516785350966,0.7171314741035857,0.5374025797226889,0.5362251961236733,0.6737425011536686,0.7958904109589041,9.578544061302683e-06,62.40212321281433,True
17,0.05616362841847616,0.2019911336246878,0.7243621810905454,0.7276381909547739,0.7211155378486056,0.5454505308196297,0.5371481310567605,0.6737425011536686,0.7972602739726027,6.7049808429118775e-06,56.8743097782135,False
18,0.05625612522738102,0.2026333053363487,0.7240861291937908,0.7280966767371602,0.7201195219123506,0.5555749561936865,0.5385325334563913,0.6737425011536686,0.7993150684931507,3.8314176245210725e-06,56.83792757987976,False
19,0.04969987582065102,0.20553946192376316,0.7343671835917959,0.7376884422110552,0.7310756972111554,0.5611277828404158,0.5445316105214583,0.6737425011536686,0.8082191780821918,9.578544061302681e-07,69.12351679801941,True
20,0.051000867158365555,0.20530773582868278,0.7333666833416709,0.7366834170854272,0.7300796812749004,0.5599253962432924,0.5440701430549146,0.6737425011536686,0.8075342465753425,0.0,57.12680768966675,False
