epoch,train_loss,val_loss,val_micro_f1,val_micro_precision,val_micro_recall,val_macro_f1,val_true_recall,val_ocr_ceiling,val_tagger_accuracy,learning_rate,epoch_seconds,is_best
1,3.3818305635452273,2.8481271266937256,0.3438952260245036,0.38037383177570094,0.3138010794140324,0.06759225650332727,0.3147208121827411,1.0,0.3147208121827411,2.5e-05,50.117398262023926,True
2,2.3399860000610353,1.9339927893418531,0.39180445722501805,0.367003367003367,0.4202004626060139,0.10934622563477822,0.46054453161052145,1.0,0.46054453161052145,5e-05,50.215254068374634,True
3,1.6143078815937042,1.2164974487744844,0.6651845264562027,0.7857142857142857,0.5767154973014649,0.20157371599814064,0.6626672819566221,1.0,0.6626672819566221,4.722222222222222e-05,61.21228885650635,True
4,1.0867555505037307,0.8657389145631057,0.7399829497016198,0.8274547187797903,0.669236700077101,0.32995534804824517,0.7489616982002769,1.0,0.7489616982002769,4.4444444444444447e-05,57.63646054267883,True
5,0.8079408591985703,0.6641465127468109,0.8064777327935222,0.8491048593350383,0.7679259830377795,0.41359101993909003,0.8283341024457775,1.0,0.8283341024457775,4.166666666666667e-05,61.273019552230835,True
6,0.6188283637166023,0.4799937468308669,0.8717948717948719,0.8925686591276252,0.8519660755589823,0.5438244069302236,0.8957083525611444,1.0,0.8957083525611444,3.888888888888889e-05,61.71208310127258,True
7,0.455721088796854,0.37459029945043415,0.904836193447738,0.9155485398579322,0.8943716268311488,0.596612730620467,0.9243193354868482,1.0,0.9243193354868482,3.611111111111111e-05,59.36436104774475,True
8,0.36114731803536415,0.32398082315921783,0.9034267912772587,0.912667191188041,0.8943716268311488,0.6217628012685665,0.9261652053530226,1.0,0.9261652053530226,3.3333333333333335e-05,48.84690737724304,False
9,0.29101230658590793,0.28555415914608884,0.9306470360325454,0.9353582554517134,0.9259830377794911,0.6728773499110697,0.9460083064143978,1.0,0.9460083064143978,3.055555555555556e-05,60.187331438064575,True
10,0.238616776317358,0.2830261691258504,0.9193983802545315,0.9197530864197531,0.9190439475713185,0.6849394055550954,0.9358560221504384,1.0,0.9358560221504384,2.777777777777778e-05,49.07803964614868,False
11,0.20123538218438625,0.24834995086376482,0.9350249903883122,0.9325153374233128,0.9375481881264457,0.7399355815347568,0.9529303184125519,1.0,0.9529303184125519,2.5e-05,59.180840730667114,True
12,0.16392598662525415,0.2551818306629474,0.9312331924702266,0.9280245022970903,0.9344641480339244,0.770162816433511,0.9501615136132903,1.0,0.9501615136132903,2.2222222222222223e-05,49.10419249534607,False
13,0.14980136312544345,0.23243617782225975,0.9338970023059185,0.9310344827586207,0.9367771781033153,0.7862796554956528,0.949238578680203,1.0,0.949238578680203,1.9444444444444445e-05,48.48953437805176,False
14,0.12411384398117661,0.22075947087544662,0.9439324116743472,0.9403213465952563,0.9475713184271396,0.7919490576758454,0.9584679280110752,1.0,0.9584679280110752,1.6666666666666667e-05,57.296616554260254,True
15,0.1083520383760333,0.224441671027587,0.9387755102040816,0.9376923076923077,0.9398612181958366,0.7931111986576275,0.9524688509460083,1.0,0.9524688509460083,1.388888888888889e-05,48.89622116088867,False
16,0.09318878389894962,0.2272174169237797,0.9392774788624135,0.9363984674329502,0.9421742482652274,0.8034834469385025,0.9524688509460083,1.0,0.9524688509460083,1.1111111111111112e-05,48.80344223976135,False
17,0.08485012482851743,0.2046568479675513,0.9496734537072609,0.9464012251148545,0.9529683885890516,0.8138535252108369,0.9635440701430549,1.0,0.9635440701430549,8.333333333333334e-06,60.426926374435425,True
18,0.07808071529492736,0.19713128472750002,0.9539524174980814,0.9495798319327731,0.9583654587509638,0.8062025509855809,0.9663128749423165,1.0,0.9663128749423165,5.555555555555556e-06,55.335124254226685,True
19,0.0731118743121624,0.20092918208012214,0.9527468305800998,0.9494640122511485,0.9560524286815728,0.8141535255245825,0.9649284725426858,1.0,0.9649284725426858,2.777777777777778e-06,48.782512187957764,False
20,0.06897397479042411,0.20582081664067048,0.9527468305800998,0.9494640122511485,0.9560524286815728,0.8234091519390769,0.9644670050761421,1.0,0.9644670050761421,0.0,48.66134166717529,False
